CD_SETOR;V06001;V06002;V06003;V06004;V06005
354390705000002;188;403;1,3;5350,85;39351392,7
354390705000003;267;619;1,29;5072,59;26521281,63
354390705000004;243;520;1,27;4804,89;64745880,03
354390705000006;145;317;1,74;5490,74;36015547,55
354390705000007;270;531;1,18;6180,72;50169017,38
354390705000008;215;436;1,08;6830,78;49538017,64
354390705000015;298;732;1,16;4288,69;19253476,98
354390705000020;220;516;1,28;4489,12;24207162,28
354390705000024;139;275;1,63;4081,15;13924883,94
354390705000051;278;669;1,49;3939,08;24607032,25
354390705000103;344;1042;1,81;2175,25;1836393,13
354390705000112;258;609;1,21;4388,06;12555748
354390705000129;364;989;1,66;2720,25;3303028,22
354390705000130;344;949;1,98;2062,81;1330883,76
354390705000139;282;768;1,55;3559,5;5456108,85
354390705000155;365;949;1,71;2554,84;3302716,6
354390705000208;320;934;1,69;2692,74;3029801,06
354390705000228;295;731;1,29;4432,6;14889110,88
354390705000233;361;1075;1,74;1686,64;801546,2
354390705000297;333;895;1,06;6774,73;24132665,69
354390705000305;384;929;1,14;6970,79;30161342,73
354390705000391;316;928;1,41;2455,98;3240720,98
354390705000447;368;1060;1,59;3653,46;7884841,2
354390705000471;388;1178;1,84;3667,42;56052607,07
